[acm] A Networking Perspective on Starlink's Self-Driving LEO Mega-Constellation  (doi=10.1145/3570361.3592519)
[acm] Direct-to-Cell Satellite Network without Satellite Navigation  (doi=10.1145/3718958.3750522)
[acm] Predicting Connectivity and Link Performance in Dynamic LEO Satellite Networks  (doi=10.1145/3789514.3792058)
[acm] SaTE: Low-Latency Traffic Engineering for Satellite Networks  (doi=10.1145/3718958.3750524)
[acm] Small-scale LEO Satellite Networking for Global-scale Demands  (doi=10.1145/3718958.3750525)
[acm] Sustainability or Survivability? Eliminating the Need to Choose in LEO Satellite Constellations  (doi=10.1145/3772356.3772408)
[arxiv] https://arxiv.org/pdf/2512.20835  (doi=)
[elsevier] A High-Fidelity and High-Efficiency Simulator for 6G-Integrated Space-Ground Networks  (doi=10.1016/j.eng.2025.08.042)
[elsevier] A modeling and simulation framework for the study and analysis of cascading failures in satellite networks  (doi=10.1016/j.ress.2026.112793)
[elsevier] A reinforcement learning framework using pointer networks to address tampering of pollutant control systems in freight transportation  (doi=10.1016/j.eswa.2025.129178)
[elsevier] Analysis and Design of Starlink-like Satellite Constellation  (doi=10.1016/j.chinastron.2024.03.004)
[elsevier] Analytical solutions for Earth discontinuous coverage of satellite constellation with repeating ground tracks  (doi=10.1016/j.cja.2021.11.012)
[elsevier] Data-driven classification of global navigation satellite system signals in harsh environments  (doi=10.1016/j.engappai.2026.114892)
[elsevier] Deep reinforcement learning with evolutionary algorithm-guided imitation for capacitated vehicle routing problems  (doi=10.1016/j.asoc.2025.113705)
[elsevier] https://www.sciencedirect.com/science/article/pii/S0094576516306178?ref=pdf_download&fr=RR-2&rr=9c76511a1ea4d2e5  (doi=)
[elsevier] https://www.sciencedirect.com/science/article/pii/S1000936121004179?ref=pdf_download&fr=RR-2&rr=9c23624e6a1be591  (doi=)
[elsevier] Influence of terminal bias error and vibration on link stability of laser inter-satellite link  (doi=10.1016/j.measurement.2025.118604)
[elsevier] Inter-satellite link technologies and applications in Low Earth Orbit satellite networks  (doi=10.1016/j.icte.2026.03.001)
[elsevier] Satellite launch traffic forecast based on the global Gross Domestic Product and constellation plans  (doi=10.1016/j.actaastro.2026.04.046)
[frontiers] Path Choice Models in Stochastic Assignment: Implementation and Comparative Analysis  (doi=10.3389/ffutr.2022.885967)
[ieee] A Three-Layer AI-Driven Image Filtering for Efficient LEO Satellite Remote Sensing  (doi=10.1109/access.2026.3679616)
[ieee] A tutorial on decomposition methods for network utility maximization  (doi=10.1109/jsac.2006.879350)
[ieee] Analysis of Inter-Satellite Link Paths for LEO Mega-Constellation Networks  (doi=10.1109/tvt.2021.3058126)
[ieee] Analysis of Laser Intersatellite Links and Topology Design for Mega-Constellation Networks  (doi=10.1109/jiot.2024.3452787)
[ieee] Automated Calibration of Position Sensors in Coarse Pointing Assemblies for Free-Space Optical Communication Using Gaussian Process Regression  (doi=10.1109/jstqe.2026.3675528)
[ieee] CMAP: Certificateless MQTT-Based Authentication Protocol for Medical IoT  (doi=10.1109/access.2026.3684371)
[ieee] Constellation Parameters for Minimizing Propagation Delay Over LEO Inter-Satellite Links  (doi=10.1109/ton.2026.3661441)
[ieee] Covert Communication for Satellite Networks: Fundamentals, Applications, and Future Directions  (doi=10.1109/mwc.2026.3668100)
